catid,codec,description
1,V5,銀鍍黃金0.25MIC
1,VR,銀鍍玫瑰金0.25MIC
1,VS,銀鍍玫瑰金0.125MIC
1,VT,銀鍍玫瑰金0.375MIC
1,VZ,銀鍍金/玫瑰金0.25MIC(鐳射切割)
1,X0,銀鍍鉑
1,Z0,非金屬
1,N0,黃銅+925銀
1,N2,青銅+925銀
1,R0,銀鍍銠
1,R1,銀鍍黑銠
1,RW,銀鍍銠(無LOGO)
1,RX,銀鍍銠(紅剛LOGO)
1,RY,銀鍍銠(非洲紅寶LOGO)
1,RZ,銀鍍銠(鐳射切割)
1,S3,銀鍍黃金4-5MIL
1,S5,銀鍍黃金/玫瑰金0.5MIC(紅剛LOGO)
1,10,14K黃金
1,11,14K黃金+黃　
1,1V,14K黃金+14K白金
1,20,10K黃金
1,21,10K黃金+925銀
1,2V,10K黃金+10K白金
1,30,銀鍍黃金1MIC
1,3R,銀鍍玫瑰金1MIC
1,3W,銀鍍黃金/玫瑰金1MIC(無LOGO)
1,3X,銀鍍黃金/玫瑰金1MIC(紅剛LOGO)
1,3Y,銀鍍黃金1MIC(非洲紅寶LOGO)
1,3Z,銀鍍黃金/玫瑰金1MIC(鐳射切割)
1,40,銀鍍黃金3MIC
1,4R,銀鍍玫瑰金3MIC
1,4X,銀鍍黃金3MIC(紅剛LOGO)
1,4Y,銀鍍黃金3MIC(非洲紅寶LOGO)
1,4Z,銀鍍黃金/玫瑰金3MIC(鐳射切割)
1,50,BRONZE A
1,5D,白銅
1,5E,黃銅+紫銅
1,5F,紫銅
1,5G,紫銅2
1,5H,黃銅+不鏽鋼
1,5S,紅銅+白銅
1,5T,BRONZE B
1,5U,BRONZE銅A+BRONZE銅B
1,5V,紅銅+鋁
1,5W,紅銅+鋁+黃銅
1,60,925銀
1,6X,925銀(紅剛LOGO)
1,6Y,925銀(非洲紅寶LOGO)
1,6Z,925銀(鐳射切割)
1,70,鋁
1,71,鋁+黃　
1,72,鋁+不鏽鋼
1,80,18K黃金
1,81,18K黃金+18K玫瑰金
1,A2,8K黃金
1,A3,9K黃金
1,22,10K黃
1,12,14K黃+14K白+銅
1,AB,9K黄金+925银
1,B8,14K黄金+10K黄金+9K黄金
1,B9,银+925银
1,C4,925+1%PT
1,CD,14K玫瑰金+黄铜
1,F3,14K黄金+925银+钢
1,G4,14K白金+14K黄金+黄铜
1,K5,18K黄金+925银+不锈钢
1,K6,940银+不锈钢
1,K7,合金塑胶+黄铜+不锈钢
1,MH,925银+10K玫瑰金+10K白金
1,MJ,925银+10K黄金+10K白金
2,0,項鏈
2,1,手鏈/手鐲
2,2,耳環
2,3,吊墜/胸針
2,4,戒指
2,9,套飾
2,C,鏈條
2,P,部件
2,W,手錶
4,00,白CZ
4,01,紅鋼
4,02,藍鋼
4,03,綠玻璃
4,04,變色藍CZ
4,05,金黃CZ
4,06,粉紅CZ
4,07,桔紅CZ
4,08,淺藍CZ(BT色)
4,09,綠CZ
4,10,塑膠珍珠
4,11,真寶彩虹(部分)
4,12,Topaz
4,13,南非紫晶
4,14,石榴石
4,15,黃晶
4,16,橄欖石
4,17,真寶彩虹(五種)
4,18,紅寶
4,19,藍寶
4,20,祖母綠
4,21,混合CZ
4,22,混合假石
4,23,巴西紫晶
4,24,紫CZ
4,25,藍CZ
4,26,玻璃珍珠
4,27,黑瑪瑙
4,28,烏鋼石
4,29,青金石
4,30,孔雀石
4,31,歐泊
4,32,粉晶(芙蓉石)
4,33,虎睛石
4,34,綠松石(中國)
4,36,尖晶石(水藍色)
4,37,香檳色CZ
4,38,綠石英
4,39,人造歐泊
4,40,橄欖色CZ
4,41,石榴紅CZ
4,42,海藍寶石色CZ
4,44,海藍寶石
4,45,淡水珍珠
4,46,白黃玉
4,47,金黃色鋼玉
4,48,藍色尖晶石
4,49,紫變剛玉
4,50,鋰紫玉色剛石
4,51,綠色尖晶石
4,52,粉紅色鋼玉
4,53,黃玻璃
4,54,紫玻璃(紫晶色)
4,55,坦桑玻
4,56,橄欖玻璃
4,57,紅玻璃
4,58,藍玻璃
4,59,玻璃12種生日石
4,60,人造12種生日石(混合)
4,61,人造綠寶
4,62,黑CZ
4,63,人造黃水晶
4,64,坦桑石
4,65,馬克賽石
4,66,豆青種玉(緬甸玉)
4,68,見石頭描述
4,69,見石頭描述
4,70,見石頭描述
4,71,見石頭描述
4,72,見石頭描述
4,73,見石頭描述
4,74,見石頭描述
4,75,見石頭描述
4,76,見石頭描述
4,77,見石頭描述
4,78,見石頭描述
4,79,見石頭描述
4,80,見石頭描述
4,81,見石頭描述
4,82,見石頭描述
4,83,見石頭描述
4,84,見石頭描述
4,85,見石頭描述
4,86,見石頭描述
4,87,見石頭描述
4,88,見石頭描述
4,89,見石頭描述
4,90,見石頭描述
4,91,見石頭描述
4,92,見石頭描述
4,93,見石頭描述
4,94,見石頭描述
4,95,見石頭描述
4,96,見石頭描述
4,97,見石頭描述
4,98,見石頭描述
4,99,見石頭描述
4,A0,無石
4,A1,堇青石
4,A2,神秘石晶
4,A3,碧璽
4,A4,石髓
4,A5,月光石
4,A6,菱錳礦石(紅玟石)
4,A7,琥珀
4,A9,珍珠貝
4,AA,鮑魚貝
4,AB,瑪瑙類
4,AC,金沙石
4,AD,薔薇輝石
4,AE,花豹石
4,AF,白紋石
4,AG,東陵石
4,AH,方鈉石
4,AJ,雪花石
4,AK,黃鐵礦
4,AL,染色石英岩(亞馬遜顏色)
4,AM,紅磚石
4,AN,鳳凰石
4,AP,發晶
4,AQ,圖畫石
4,AR,拉長石
4,AT,紫紋蛤
4,AU,人造星石
4,AV,人造水晶
4,AW,合成貓眼
4,AY,瑪瑙浮雕
4,AZ,綠松石(人造)
4,BA,染色珊瑚
4,BB,染色貝殼
4,BC,染色玉
4,BD,染色真玉
4,BE,拼石
4,BF,印地安珠
4,BG,貝珠
4,BH,CHANGE CZ
4,BJ,棕色仿鑽色CZ
4,BK,乳白色CZ
4,BP,粉紅玻璃
4,BQ,黑色玻璃
4,BR,白色玻璃
4,BS,桔紅色玻璃
4,BT,煙玻
4,BU,人造綠水晶
4,BV,人造藍水晶
4,BW,人造煙晶
4,BX,人造海藍寶色水晶
4,BY,人造紫水晶
4,BZ,人造珊瑚
4,CA,塑膠戒面(POLY)
4,CB,煙晶
4,CC,金黃玉
4,CD,花綠石
4,CE,粉紅蛤
4,CF,天然白水晶
4,CG,水鑽
4,CJ,櫻桃紅晶
4,CL,新山玉
4,CM,黃紋石
4,CP,坦桑CZ
4,CR,人造青金石
4,CT,花紅石
4,CU,螢石
4,CV,乳色CZ
4,CX,綠剛玉
4,DA,綠紫晶
4,DB,神密CZ
4,DC,白剛玉
4,DD,人造孔雀石
4,DG,白安力士
4,DH,天然粉紅紫晶
4,DJ,黑安力士(合成料)
4,DK,樹脂浮雕
4,DN,乳色玻璃
4,DP,棕色鑽石
4,DQ,黑色鑽石
4,DR,藍色鑽石
4,DS,綠色鑽石
4,DT,黃色鑽石
4,DW,黑曜岩
4,DY,JADE
4,DZ,黑木
4,EB,鉻透輝石
4,EC,煙鋯
4,ED,裂紋CZ
4,EF,壓克力珠
4,EG,樹脂類
4,EH,白色尖晶石
4,EK,HONEY CITRINE
4,EM,澳洲玉
4,EN,人造太陽石
4,EP,CHAMPAGNE QUARTZ
4,EQ,COGNAC  QUARTZ
4,ER,染紅色鑽石
4,ET,綠松石(再生)
4,EW,染色真寶
4,EX,仿水晶玻璃
4,EZ,染色石英岩
4,FA,石英岩
4,FB,琉璃
4,FC,灰CZ
4,FH,血石
4,FJ,橄欖玉
4,FK,斑點石
4,FL,粉紅托拍石
4,FM,天然土耳其石染色
4,FQ,塔希堤珍珠(大溪地珍珠)
4,FR,染色木頭
4,FS,葡萄石
4,FU,染色馬山玉
4,FV,天然松石灌膠
4,FW,斑馬石
4,FX,香檳色鑽石
4,FY,天然綠蛋白石
4,FZ,白鋯
4,GA,拉利瑪
4,GC,Platinum Dursy Quartz
4,GF,水晶洞
4,GG,玻璃珠
4,GH,黑色尖晶石
4,GJ,內加銀磁珠
4,GK,NANO
4,GL,紫龍晶
4,GM,MORGANITE
4,GN,水鈣鋁榴石
4,GP,和田玉
4,GQ,磷灰石
4,GR,仿造紅磚石
4,GS,Hydro Green Quartz
4,GT,神秘水晶
4,GU,亞馬遜石
4,GV,疊石
4,GW,煙灰色玻璃
4,GX,天然紫玉
4,GY,BABY 藍CZ
4,H1,藍　礦
4,H2,蛇紋石
4,H3,流紋石
4,H4,#A DINOBONE(恐龍石)
4,H5,BUMBLE JASPER(黃蜂石)
4,H6,OPALITE JASPER
4,H7,斑彩石(Ammolite)
4,H8,彩虹石(Petr Wood)
4,H9,白雲石(Pigeon Wing)
4,HA,火山石(Lava)
4,HB,化石珊瑚(Fossil Coral)
4,HC,TURRITELLA AGATE
4,HD,透明鋼化玻璃
4,HE,人造琥珀
4,HF,再生白紋石
4,HG,合成紅紋石
4,HH,鑽石(新)
4,HJ,人造灰色水晶
4,HK,Morganite CZ
4,HL,天然紫晶
4,HM,白紋石(人造)
4,HN,黑曜岩(人造)
4,HP,人造紅寶
4,HQ,雙色瑪瑙
4,HR,Magnesite
4,HS,人造棕黑色水晶
4,HT,染色剛玉
4,HU,軟玉
4,HV,黑點藍
4,HW,西非翠玉
4,HX,網絡石
4,HY,綠桃花石
4,HZ,白?紅石
4,JA,木化石
4,JB,紅綠寶
4,JC,什石(Mixed stone )
4,JD,金薄石(Brownzite)
4,JE,紅?加力(Kashgar Garnet)
4,JF,瑪瑙水晶洞圓珠
4,JG,粉紅玉
4,JH,女皇螺
4,JJ,非洲松
4,JK,藍晶石
4,JL,女神石
4,JM,瑩水晶
4,JN,紅木紋石
4,JP,海洋珊瑚
4,JQ,草莓晶
4,JR,火線澳寶
4,JS,古銅灰
4,JT,地圖石
4,JU,日落石
4,JV,樹紋石
4,JW,填充紅寶
4,JX,畢加索
4,JY,合成碳硅石
4,JZ,天山藍
4,K1,風景石
4,K2,倫敦水藍
4,K3,塑料閃粉
4,P0,見石頭描述
4,P1,見石頭描述
4,P2,見石頭描述
4,X0,無石(不鍍)
4,X1,無石(IP黃色電鍍)
4,X3,無石(IP玫瑰色電鍍)
4,X5,無石(局部IP黃色電鍍)
4,X6,無石(局部IP黑色電鍍)
4,X7,無石(局部IP玫瑰色電鍍)
4,X8,無石(局部IP巧克力色電鍍)
4,Y0,見石頭描述
4,Y1,見石頭描述
4,Y2,見石頭描述
4,Y3,見石頭描述
4,Y4,見石頭描述
4,Y5,見石頭描述
4,Y6,見石頭描述
4,Y7,見石頭描述
4,Y8,見石頭描述
4,Y9,見石頭描述
4,YA,見石頭描述
4,YB,見石頭描述
4,YC,見石頭描述
4,YD,見石頭描述
4,YE,見石頭描述
4,YF,見石頭描述
4,YG,見石頭描述
4,YH,見石頭描述
4,YJ,見石頭描述
4,YK,見石頭描述
4,YL,見石頭描述
4,YM,見石頭描述
4,YN,見石頭描述
4,YP,見石頭描述
4,YQ,見石頭描述
4,YR,見石頭描述
4,YS,見石頭描述
4,YT,見石頭描述
4,YU,見石頭描述
4,YV,見石頭描述
4,YW,見石頭描述
4,YX,見石頭描述
4,YZ,見石頭描述
4,Z0,見石頭描述
4,Z1,見石頭描述
4,Z2,見石頭描述
4,Z3,見石頭描述
4,Z4,見石頭描述
4,Z5,見石頭描述
4,Z6,見石頭描述
4,Z7,見石頭描述
4,Z8,見石頭描述
4,Z9,見石頭描述
4,ZA,見石頭描述
4,ZB,見石頭描述
4,ZC,見石頭描述
4,ZD,見石頭描述
4,ZE,見石頭描述
4,ZF,見石頭描述
4,ZG,見石頭描述
4,ZH,見石頭描述
4,ZJ,見石頭描述
4,ZK,見石頭描述
4,ZL,見石頭描述
4,ZM,見石頭描述
4,ZN,見石頭描述
4,ZP,見石頭描述
4,ZQ,見石頭描述
4,ZR,見石頭描述
4,ZS,見石頭描述
4,ZT,見石頭描述
4,ZU,見石頭描述
4,ZV,見石頭描述
4,ZW,見石頭描述
4,ZX,見石頭描述
4,ZY,見石頭描述
4,ZZ,琉璃(工廠不用粘石)
5,1WL,"無扣頭-5.5"""
5,1WN,"無扣頭-6"""
5,1WP,"無扣頭-6.25"""
5,1WQ,"無扣頭-6.5"""
5,1WR,"無扣頭-6.75"""
5,1WW,無扣頭/見訂單備註
5,1WX,無扣頭/見訂單備註
5,1WY,無扣頭/見訂單備註
5,1WZ,無扣頭/見訂單備註
5,1Y0,(見訂單備註)
5,1Z0,"見備註-7"""
5,1Z1,"扣頭見訂單備註-7.25"""
5,1Z2,"扣頭見備註-7.5"""
5,1Z3,"見備註-7.75"""
5,1Z4,"見備註-8"""
5,1Z5,"扣頭見備註-8.25"""
5,1Z6,"扣頭見備註-8.5"""
5,1Z8,"扣頭見備註-9"""
5,1ZA,"見備註-9.5"""
5,1ZB,"扣頭見備註-9.75"""
5,1ZC,"見備註-10"""
5,1ZM,"見備註-5.75"""
5,1ZN,"見備註-6"""
5,1ZQ,"見備註-6.5"""
5,1ZR,"見備註-6.75"""
5,1ZZ,(見訂單備註)
5,200,銀耳針
5,201,翻砂耳勾
5,202,# 1LB
5,203,# 2LB
5,204,# 4LB
5,205,# 17153無圈銀耳勾
5,206,# 4008腎形耳勾
5,207,# 17153有圈銀耳勾
5,208,彎勾銀耳針
5,209,小號銀耳拍
5,20A,大號銀耳拍
5,20B,11MM銀美式耳夾
5,20C,15MM銀美式耳夾
5,20D,17MM銀美式耳夾
5,20E,15MM銀美式耳夾+耳針
5,20F,17MM銀美式耳夾+耳針
5,20H,SC EAR WIRE 268
5,20J,A0衝壓耳針
5,20K,A1衝壓耳針
5,20L,A2衝壓耳針
5,20M,A3衝壓耳針
5,20N,0.35*7MM衝壓彎耳針
5,20P,0.35*9MM衝壓彎耳針
5,20Q,09衝壓彎耳針
5,20R,#3LB耳鉤
5,30H,"(SS)020 ROLO鏈-18"""
5,30J,"(SS)020 ROLO鏈-16"""
5,30M,"(SS)030 ROPE鏈-18"""
5,30P,"(SS)9R ROPE鏈-18"""
5,30Q,"(SS)9R ROPE鏈-16"""
5,30R,"(SS)11R ROPE鏈-18"""
5,30T,"(SS)030 SNAKE鏈-18"""
5,30U,"(SS)030 SNAKE鏈-16"""
5,310,"(SS)#040 ROLO CHAIN-16"""
5,315,"(SS)8R  ROPE CHAIN-18"""
5,318,"(SS)#107 ROPE CHAIN-16"""
5,31E,"(SS) 3MM SINGLE BISMARK CHAIN-16"""
5,31S,"(SS) 2MM ROUND OMEGA CHAIN-16"""
5,336,"(SS) (1*3)#12-18 CABLE CHAIN(6085079800)-18"""
5,33J,"(SS)1.0MM圓形盒仔鏈-18"""
5,33L,"(SS) #015 BOX CHAIN-16.5"""
5,33N,"(SS)#050 ROPE CHAIN-20"""
5,33R,"(SS) #020 Rolo Chain-20"""
5,33T,"#1 黑色3MM膠繩-16"""
5,343,"(SS)2.5mm OVAL OMEGA CHAIN-17"""
5,346,"(SS)#030 SNAKE CHAIN-20"""
5,35H,"(14K黃金)6R ROPE CHAIN-18"""
5,3A0,無配鏈
5,3A2,龍蝦扣/無配鏈
5,3A4,吊圈/無配鏈
5,3A6,開合扣/無配鏈
5,3A9,管狀吊鉤/無配鏈
5,3B4,"#3皮繩(#900黑色)-18"""
5,3B6,"#4 黑色2mm膠繩-16"""
5,3BG,"#4棉繩(#900黑色)-16"""
5,3BR,"#4棉繩(#900黑色)-18"""
5,3FW,"(SS)#025 FORZATIN CHAIN-18"""
5,3G1,"(SS)1.8*2.4mm有切麵車花十字鏈-18"""
5,3G6,"(SS)#030 CABLE CHAIN-18"""
5,3G9,"(SS)#025 ROLO CHAIN-32"""
5,3GD,"(SS)#050 ROLO CHAIN-18"""
5,3GF,"(SS)1.8*2.4MM有切麵車花十字CABLE CHAIN-26"""
5,3GL,"(SS)1.8MM*2.4MM有切麵車花十字CABLE CHAIN-20"""
5,3GN,"(SS)2.5*0.75MM車花十字 CABLE CHAIN-20"""
5,3HU,"(SS)#035 CURB CHAIN-20"""
5,3HY,"(SS)#2207 CABLE CHAIN-16"""
5,3J0,"(SS)1808 CABLE CHAIN-24"""
5,3J4,"(SS)18-24 CURB CHAIN-18"""
5,3J6,"(SS)#040 ROLO CHAIN-21.75"""
5,3JB,"(SS)2.5*0.75MM車花十字 CABLE CHAIN-16"""
5,3JF,"(SS) #035 CURB CHAIN-22"""
5,3JH,"(SS)2MM 銀珠鏈-18"""
5,30V,"(SS)025 SNAKE鏈-18"""
5,311,"(SS)#040 ROLO CHAIN-18"""
5,317,"(SS)#050 ROPE CHAIN-18"""
5,31C,"(SS) 2MM SINGLE BISMARK CHAIN-16"""
5,31M,"(SS) #040 SNAKE CHAIN-18"""
5,332,"(SS) CABLE WIRE CHAIN(60850160)-18"""
5,33A,"(SS)  1.5MM DIA CUT BEAD CHAIN-18"""
5,33K,"(SS) (1*2) #1125F CABLE CHAIN-17"""
5,33M,"(SS)#020 Rolo Chain-24"""
5,33Q,"(SS)#1025F CABLE CHAIN×2-17.5"""
5,33S,"(SS)020 Rolo Chain-17"""
5,341,"(SS)13R ROPE CHAIN-18"""
5,345,"(SS)#040 CARDANO CHAIN-18"""
5,35G,"(10K黃金)6R ROPE CHAIN-18"""
5,360,"(SS)#020 Forzatina Cable Chain-18""(扣、圈焊死)"
5,3A1,彈簧扣/無配鏈
5,3A3,螺旋環/無配鏈
5,3A5,狗頭扣/無配鏈
5,3A7,5C專用方形扣A
5,3B3,"#3皮繩(#900黑色)-17"""
5,3B5,"#19 黑色絲光繩-18"""
5,3B9,"#9黑色絲光繩-16"""
5,3BM,"#9絲光繩(#900黑色)-18"""
5,3FV,"(SS)#012 BOX CHAIN-18"""
5,3FZ,"(SS) #030 CURB CHAIN-17.75"""
5,3G4,"(SS)1.8*2.4mm有切麵車花鏈-16"""
5,3G8,"(SS)1.5MM 有切麵珠鏈-20"""
5,3GB,"(SS)M444 CHAIN-24"""
5,3GE,"(SS) #025 Forzatina Cable Chain -17"""
5,3GH,"(SS)#050 ROPE CHAIN-22"""
5,3GM,"(SS)9*3.2MM厚0.6MM衝壓節鏈-18"""
5,3GP,"(SS)18-24 CURB CHAIN-20"""
5,3HV,"(SS)1808 CABLE CHAIN-18"""
5,3HZ,"(SS)#025 FORZATINA CHAIN-20"""
5,3J3,"(SS)(1*2)#025 FORZATINA CHAIN-18"""
5,3J5,"(SS)(1*3)#025 FORZATINA CHAIN-18"""
5,3J8,"(SS)(1*3)1.0mm Dia Cut Bead Chain-17"""
5,3JE,"(SS)(1*2)R-2 BABY ROLO CHAIN-18"""
5,3JG,"(SS)2.5*0.75MM車花十字 CABLE CHAIN-22"""
5,3JJ,"(SS)12R ROPE CHAIN-22"""
5,3JM,"(SS)雙環十字CABLE CHAIN-22"""
5,3JP,"(SS)#030 CURB CHAIN-22"""
5,3JR,"(SS)1808 CABLE CHAIN-22"""
5,3JT,"(SS)(1×2)#2214 CF CURB CHAIN-18"""
5,3JV,"(SS) 4MM DOMED OMEGA CHAIN-17"""
5,3L7,"(14K黃金)012 BOX CHAIN-18"""
5,3LB,"(SS)R-2 BABY ROLO CHAIN-18"""
5,3LE,"(SS)#220 BALL CHAIN-16"""
5,3LK,"(SS)R-2 BABY ROLO CHAIN-16"""
5,3LN,"(SS)#025 FORZATIN CHAIN-13"""
5,3LQ,"(GP)#2214 CABLE CHAIN-17"""
5,3LU,"(SS)025 ROLO鏈-17.5"""
5,3LX,"(SS)#040 Cable chain-18"""
5,3N2,"(GP)(1*2)#1016 CABLE CHAIN-18"""
5,3S3,"#21黑色1mm絲光繩-3"""
5,3S6,"0.8mm黑色手機繩-5"""
5,3S8,"0.8mm黑色手機繩-4.25"""
5,3SC,2.75(厚)*21MM(內徑)不鏽鋼鑰匙扣
5,3SH,"0.8mm黑色手機繩-4"""
5,3T0,袖扣18*16mm
5,3T4,9.8*4.6mm微章扣
5,3U2,無配件
5,3V0,10×1mm呔針
5,3V3,(GP)10×1mm呔針
5,3W0,無配件
5,3W2,(GP)#2 別針
5,3W4,(GP)#4 別針
5,3W6,(GP)#6 別針
5,3W9,(GP)#9 別針
5,01N,"彈簧扣-17.75"""
5,01T,"彈簧扣-26"""
5,01X,彈簧扣/尺寸見備註
5,01Z,彈簧扣/尺寸見備註
5,022,"龍蝦扣-15"""
5,025,"龍蝦扣-16.5"""
5,027,"龍蝦扣-17.5"""
5,029,"龍蝦扣-18.5"""
5,02C,"龍蝦扣-20"""
5,02F,"龍蝦扣-24"""
5,02J,"龍蝦扣-32"""
5,02L,"龍蝦扣-28"""
5,02P,"龍蝦扣-27.5"""
5,02V,"龍蝦扣-15.75"""
5,034,"金屬棒+金屬圈-16"""
5,3JL,"(SS)#2214 CABLE CHAIN-18"""
5,3JN,"(SS)#080 FORZATINA CHAIN-22"""
5,3JQ,"(SS)1808 CABLE CHAIN-31.5"""
5,3JS,"(SS)1.8*2.4MM有切麵車花十字CABLE CHAIN-22"""
5,3JU,"(SS)大中小圈CABLE CHAIN-24"""
5,3L5,"(SS)#040 ROPE CHAIN-18"""
5,3LA,"(SS)(1*2)#012 BOX CHAIN-18"""
5,3LD,"(SS)18-24 CURB CHAIN-16"""
5,3LH,"(SS)10R  ROPE CHAIN-18"""
5,3LL,"(SS)#045 SPIGA WHEAT CHAIN-16"""
5,3LP,"(SS)1.3*2.3mm有切麵車花十字鏈-18"""
5,3LT,"(SS)M444 CHAIN-18"""
5,3LV,"(SS) #070 CURB CHAIN-18"""
5,3LZ,"(SS)#030 Forzatin Cable(D/C)Chain-18"""
5,3N3,"(SS)1.2MM切麵銀珠鏈-18"""
5,3S4,"#6粉紅色3MM編織皮繩-7.25"""
5,3S7,"0.8mm黑色手機繩-4.75"""
5,3SA,"0.8mm黑色手機繩-3.5"""
5,3SG,"0.8mm黑色手機繩-3.25"""
5,3SP,2.75(厚)*24MM(內徑)不鏽鋼鑰匙扣
5,3T1,無配件
5,3U1,翻砂髮夾扣
5,3UZ,髮夾/(見備註)
5,3V1,(GP)50MM領帶夾
5,3V4,無配件
5,3W1,(GP)#1 別針
5,3W3,(GP)#3 別針
5,3W5,(GP)#5 別針
5,3W8,(GP)#8 別針
5,3WA,(SS)#1 別針
5,01R,"彈簧扣-40"""
5,01V,"彈簧扣-15.75"""
5,01Y,彈簧扣/尺寸見備註
5,021,"龍蝦扣-14.5"""
5,024,"龍蝦扣-16"""
5,026,"龍蝦扣-17"""
5,028,"龍蝦扣-18"""
5,02A,"龍蝦扣-19"""
5,02E,"龍蝦扣-22"""
5,02H,"龍蝦扣-30"""
5,02K,"龍蝦扣-36"""
5,02N,"龍蝦扣-17.75"""
5,02R,"龍蝦扣-40"""
5,02Z,龍蝦扣/尺寸見備註
5,035,"金屬棒+金屬圈-16.5"""
5,037,"金屬棒+金屬圈-17.5"""
5,036,"金屬棒+金屬圈-17"""
5,038,"金屬棒+金屬圈-18"""
5,085,"金屬圈+金屬扣-16.5"""
5,11X,彈簧扣/尺寸見訂單備註
5,196,"開合扣-8.5"""
5,25M,"(GP)#2LB(L01,L02,L03客戶專用)"
5,27B,11MM銀美式夾+(0.73-0.81)*9.5MM銀耳針
5,27D,15MM銀美線夾+0.9MM雙凹槽耳針
5,27F,0.9mm耳針
5,27H,15MM銀美式夾+(0.73-0.81)*9.5MM銀耳針
5,281,(GP)# 17153有圈耳勾
5,286,厚1MM 0.35*9MM衝壓耳針
5,290,厚1MM A1衝壓耳針
5,293,11MM銀美線夾+1.0*11MM銀耳針
5,295,15MM銀美線夾+1.0*11MM銀耳針
5,297,13MM銀美式耳夾+1.0*10MM雙凹槽耳針
5,299,# 17152無圈銀耳勾
5,2A1,10K耳環配14K耳針
5,2A7,(14K黃金)0.35*7MM衝壓彎耳針
5,2AA,(14K黃金)A0衝壓耳針
5,2AC,(14K黃金)A1衝壓耳針
5,2AG,(14K黃金) 耳針
5,2AN,(14K黃金)#17153有圈耳勾
5,2AQ,(10K黃金)19*9mm有圈耳勾
5,2AS,(18K黃金)#17153有圈耳勾
5,2AV,(10K黃金)A0衝壓耳針
5,2AX,(10K黃金)0.35*7MM衝壓彎耳針
5,2C6,(10K黃金)1.0×10MM雙凹槽耳針
5,2CE,(18K黃金)0.8MM耳針
5,2CN,(9K黃金)#17153有圈耳勾
5,2CQ,(9K黃金)#17153無圈耳勾+#4LB耳勾夾
5,2CS,(9K黃金)#17153有圈小耳勾
5,2CX,(18K黃金)#17153繞圈耳勾
5,2D0,(18K玫瑰金)#17153繞圈耳勾
5,2D2,(9K黃金)#17153繞圈耳勾
5,2D4,(18K玫瑰金)耳針
5,2D6,(9K玫瑰金)耳針
5,320,"(SS) 1025F CABLE CHAIN-16"""
5,322,"(SS) 5MM CURB CHAIN-16"""
5,324,"(SS) #030 CURB CHAIN-16"""
